iter	Passed	Remaining
352	9294	17034
353	9316	17001
354	9345	16979
355	9364	16940
356	9398	16927
357	9431	16912
358	9459	16890
359	9481	16855
360	9508	16830
361	9535	16805
362	9559	16775
363	9577	16734
364	9600	16702
365	9624	16672
366	9655	16653
367	9677	16620
368	9704	16594
369	9728	16565
370	9753	16536
371	9777	16505
372	9801	16476
373	9831	16455
374	9866	16444
375	9890	16414
376	9916	16387
377	9937	16351
378	9961	16321
379	9982	16287
380	10004	16253
381	10031	16229
382	10053	16196
383	10078	16168
384	10100	16134
385	10124	16105
386	10147	16072
387	10170	16042
388	10196	16016
389	10221	15987
390	10245	15957
391	10270	15930
392	10291	15895
393	10317	15868
394	10342	15840
395	10365	15809
396	10385	15774
397	10409	15744
398	10429	15709
399	10456	15684
400	10484	15661
401	10507	15630
402	10531	15600
403	10549	15563
404	10568	15526
405	10592	15497
406	10617	15469
407	10637	15435
408	10663	15408
409	10680	15369
410	10709	15347
411	10738	15326
412	10761	15295
413	10780	15259
414	10805	15232
415	10829	15202
416	10855	15176
417	10875	15143
418	10895	15108
419	10913	15071
420	10941	15048
421	10967	15021
422	10988	14989
423	11013	14961
424	11036	14931
425	11059	14901
426	11078	14866
427	11101	14837
428	11124	14806
429	11148	14778
430	11168	14745
431	11188	14710
432	11213	14683
433	11231	14647
434	11253	14616
435	11273	14583
436	11304	14563
437	11335	14544
438	11357	14514
439	11375	14477
440	11397	14447
441	11417	14414
442	11443	14388
443	11463	14354
444	11484	14323
445	11513	14301
446	11534	14269
447	11562	14247
448	11584	14216
449	11606	14185
450	11629	14156
451	11650	14125
452	11668	14089
453	11697	14067
454	11721	14040
455	11741	14006
456	11765	13979
457	11783	13944
458	11802	13910
459	11823	13880
460	11849	13853
461	11870	13822
462	11895	13797
463	11917	13766
464	11945	13743
465	11972	13719
466	12006	13702
467	12030	13675
468	12057	13651
469	12089	13633
470	12126	13619
471	12164	13607
472	12196	13589
473	12226	13568
474	12249	13538
475	12279	13517
476	12310	13498
477	12346	13483
478	12381	13467
479	12424	13459
480	12462	13447
481	12493	13427
482	12521	13403
483	12552	13382
484	12579	13357
485	12606	13332
486	12635	13310
487	12659	13282
488	12684	13255
489	12706	13224
490	12732	13199
491	12760	13175
492	12808	13171
493	12829	13141
494	12849	13108
495	12881	13089
496	12905	13060
497	12940	13044
498	12974	13026
499	13023	13023
500	13073	13021
501	13108	13003
502	13135	12978
503	13161	12952
504	13185	12924
505	13207	12894
506	13233	12868
507	13266	12848
508	13303	12833
509	13339	12816
510	13376	12801
511	13411	12782
512	13470	12787
513	13506	12770
514	13550	12761
515	13592	12749
516	13619	12724
517	13658	12709
518	13694	12691
519	13726	12670
520	13756	12647
521	13785	12623
522	13815	12600
523	13839	12571
524	13866	12545
525	13898	12524
526	13931	12503
527	13951	12471
528	13990	12456
529	14013	12427
530	14045	12405
531	14084	12389
532	14121	12372
533	14159	12356
534	14192	12335
535	14229	12317
536	14262	12297
537	14323	12300
538	14357	12279
539	14379	12248
540	14421	12235
541	14458	12217
542	14493	12198
543	14520	12171
544	14550	12147
545	14590	12132
546	14628	12114
547	14657	12089
548	14688	12066
549	14723	12046
550	14758	12026
551	14793	12006
552	14835	11992
553	14873	11974
554	14899	11946
555	14942	11932
556	14971	11907
557	14991	11875
558	15018	11847
559	15051	11826
560	15078	11799
561	15098	11767
562	15129	11743
563	15163	11722
564	15198	11701
565	15228	11677
566	15247	11644
567	15273	11616
568	15294	11585
569	15316	11554
570	15347	11530
571	15374	11504
572	15401	11477
573	15430	11452
574	15462	11428
575	15491	11403
576	15524	11381
577	15563	11363
578	15595	11339
579	15628	11316
580	15656	11290
581	15688	11267
582	15718	11243
583	15741	11213
584	15763	11182
585	15795	11159
586	15827	11135
587	15861	11114
588	15900	11095
589	15925	11067
590	15949	11037
591	15978	11011
592	16009	10988
593	16037	10961
594	16061	10932
595	16089	10906
596	16117	10879
597	16138	10849
598	16165	10822
599	16195	10796
600	16219	10767
601	16241	10737
602	16297	10729
603	16342	10714
604	16371	10688
605	16400	10663
606	16425	10634
607	16453	10608
608	16476	10578
609	16504	10551
610	16529	10523
611	16552	10494
612	16575	10464
613	16601	10436
614	16633	10412
615	16667	10390
616	16699	10366
617	16723	10336
618	16748	10308
619	16777	10283
620	16799	10252
621	16822	10223
622	16849	10196
623	16885	10174
624	16913	10148
625	16940	10121
626	16967	10093
627	16986	10061
628	17009	10032
629	17034	10004
630	17063	9978
631	17084	9947
632	17110	9920
633	17136	9892
634	17164	9866
635	17190	9838
636	17210	9807
637	17241	9782
638	17269	9756
639	17297	9729
640	17323	9702
641	17347	9673
642	17374	9646
643	17398	9618
644	17420	9588
645	17445	9559
646	17467	9529
647	17494	9502
648	17527	9479
649	17550	9450
650	17573	9421
651	17592	9389
652	17612	9358
653	17635	9330
654	17659	9301
655	17679	9270
656	17702	9241
657	17737	9219
658	17768	9194
659	17798	9169
660	17823	9140
661	17852	9114
662	17870	9083
663	17894	9055
664	17917	9026
665	17950	9002
666	17981	8977
667	18010	8951
668	18042	8926
669	18069	8899
670	18093	8871
671	18120	8844
672	18148	8818
673	18177	8791
674	18204	8765
675	18241	8742
676	18279	8721
677	18312	8696
678	18338	8669
679	18371	8645
680	18396	8617
681	18423	8590
682	18456	8566
683	18486	8540
684	18513	8513
685	18541	8486
686	18570	8460
687	18596	8433
688	18623	8406
689	18647	8377
690	18671	8349
691	18696	8321
692	18715	8290
693	18738	8262
694	18761	8233
695	18782	8203
696	18811	8177
697	18836	8149
698	18866	8124
699	18895	8097
700	18923	8071
701	18946	8042
702	18980	8018
703	19002	7989
704	19027	7961
705	19055	7935
706	19098	7914
707	19127	7888
708	19158	7863
709	19193	7839
710	19228	7815
711	19264	7792
712	19300	7768
713	19332	7743
714	19362	7717
715	19391	7691
716	19425	7667
717	19454	7640
718	19477	7612
719	19504	7585
720	19531	7557
721	19554	7529
722	19580	7501
723	19600	7471
724	19627	7445
725	19650	7416
726	19670	7386
727	19698	7359
728	19724	7332
729	19752	7305
730	19788	7281
731	19862	7271
732	19927	7258
733	19995	7246
734	20033	7222
735	20055	7193
736	20088	7168
737	20146	7152
738	20177	7126
739	20207	7099
740	20227	7070
741	20256	7043
742	20279	7014
743	20312	6989
744	20338	6961
745	20363	6933
746	20385	6904
747	20405	6874
748	20425	6845
749	20450	6816
750	20476	6789
751	20507	6763
752	20532	6735
753	20555	6706
754	20577	6677
755	20603	6649
756	20631	6622
757	20657	6595
758	20676	6565
759	20697	6536
760	20723	6508
761	20741	6478
762	20773	6452
763	20798	6424
764	20822	6396
765	20842	6366
766	20861	6337
767	20889	6310
768	20914	6282
769	20938	6254
770	20959	6225
771	20989	6198
772	21017	6172
773	21038	6143
774	21059	6114
775	21086	6086
776	21106	6057
777	21132	6030
778	21152	6000
779	21172	5971
780	21197	5944
781	21218	5915
782	21241	5886
783	21262	5857
784	21282	5828
785	21303	5800
786	21332	5773
787	21353	5744
788	21376	5716
789	21402	5689
790	21429	5662
791	21455	5634
792	21488	5609
793	21635	5613
794	21735	5604
795	21776	5580
796	21799	5552
797	21821	5523
798	21840	5494
799	21873	5468
800	21896	5439
801	21919	5411
802	21944	5383
803	21969	5355
804	22002	5329
805	22027	5301
806	22056	5274
807	22084	5247
808	22110	5220
809	22142	5193
810	22164	5165
811	22188	5137
812	22209	5108
813	22230	5079
814	22255	5051
815	22288	5025
816	22319	4999
817	22344	4971
818	22366	4943
819	22392	4915
820	22415	4887
821	22440	4859
822	22462	4830
823	22490	4803
824	22518	4776
825	22540	4748
826	22565	4720
827	22586	4691
828	22606	4663
829	22626	4634
830	22647	4605
831	22668	4577
832	22693	4549
833	22716	4521
834	22746	4494
835	22769	4466
836	22795	4439
837	22819	4411
838	22842	4383
839	22866	4355
840	22895	4328
841	22921	4301
842	22940	4272
843	22972	4246
844	23003	4219
845	23032	4192
846	23059	4165
847	23085	4137
848	23108	4110
849	23134	4082
850	23161	4055
851	23182	4027
852	23210	3999
853	23234	3972
854	23258	3944
855	23280	3916
856	23308	3889
857	23332	3861
858	23361	3834
859	23386	3807
860	23410	3779
861	23434	3751
862	23453	3723
863	23473	3694
864	23493	3666
865	23515	3638
866	23543	3611
867	23565	3583
868	23588	3555
869	23607	3527
870	23626	3499
871	23647	3471
872	23668	3443
873	23693	3415
874	23721	3388
875	23744	3361
876	23772	3334
877	23793	3306
878	23816	3278
879	23837	3250
880	23858	3222
881	23884	3195
882	23907	3167
883	23927	3139
884	23960	3113
885	23985	3086
886	24015	3059
887	24044	3032
888	24070	3005
889	24103	2979
890	24131	2952
891	24164	2925
892	24196	2899
893	24220	2871
894	24241	2843
895	24264	2816
896	24283	2788
897	24311	2761
898	24338	2734
899	24368	2707
900	24394	2680
901	24414	2652
902	24436	2625
903	24459	2597
904	24480	2569
905	24505	2542
906	24527	2514
907	24558	2488
908	24586	2461
909	24608	2433
910	24632	2406
911	24658	2379
912	24681	2351
913	24705	2324
914	24730	2297
915	24757	2270
916	24780	2242
917	24809	2216
918	24835	2188
919	24864	2162
920	24889	2134
921	24912	2107
922	24936	2080
923	24954	2052
924	24978	2025
925	25000	1997
926	25026	1970
927	25062	1944
928	25090	1917
929	25120	1890
930	25144	1863
931	25172	1836
932	25196	1809
933	25221	1782
934	25253	1755
935	25293	1729
936	25326	1702
937	25354	1675
938	25376	1648
939	25398	1621
940	25421	1593
941	25445	1566
942	25470	1539
943	25493	1512
944	25520	1485
945	25542	1458
946	25562	1430
947	25586	1403
948	25605	1376
949	25628	1348
950	25657	1321
951	25681	1294
952	25704	1267
953	25729	1240
954	25750	1213
955	25770	1186
956	25786	1158
957	25805	1131
958	25826	1104
959	25852	1077
960	25878	1050
961	25899	1023
962	25919	995
963	25943	968
964	25965	941
965	25987	914
966	26020	887
967	26055	861
968	26088	834
969	26119	807
970	26151	781
971	26186	754
972	26220	727
973	26249	700
974	26277	673
975	26308	646
976	26336	620
977	26361	592
978	26383	565
979	26409	538
980	26435	511
981	26457	484
982	26485	458
983	26517	431
984	26546	404
985	26575	377
986	26603	350
987	26623	323
988	26652	296
989	26680	269
990	26703	242
991	26736	215
992	26761	188
993	26792	161
994	26814	134
995	26843	107
996	26879	80
997	26907	53
998	26941	26
999	26981	0
