iter	MultiClass
0	0.9622528043
1	0.8551173935
2	0.7691516687
3	0.7014624375
4	0.6424741189
5	0.5928558831
6	0.5502034301
7	0.5132969844
8	0.4810992188
9	0.4538586037
10	0.4295500934
11	0.4079466844
12	0.38850352
13	0.3719065284
14	0.3569095275
15	0.3430719501
16	0.3315417818
17	0.3218088089
18	0.3127252047
19	0.3042926759
20	0.2960813568
21	0.2888411193
22	0.2821667394
23	0.2756921387
24	0.2707481014
25	0.2655488223
26	0.2613676576
27	0.2577513329
28	0.2541456383
29	0.2509335748
30	0.2477203652
31	0.2446172602
32	0.241625039
33	0.2392697314
34	0.2369889341
35	0.2345646146
36	0.2328697736
37	0.2314302032
38	0.22941576
39	0.2275208266
40	0.2255952238
41	0.2240577758
42	0.2228804031
43	0.2211387799
44	0.2197444067
45	0.2188501074
46	0.2174398561
47	0.2164748921
48	0.215406363
49	0.2147214404
50	0.2141458345
51	0.2126884941
52	0.2119795444
53	0.2111414668
54	0.2102297659
55	0.2088713118
56	0.2079762058
57	0.2067341619
58	0.2058415293
59	0.2049852014
60	0.2041741597
61	0.2036325639
62	0.2030126363
63	0.2025351701
64	0.2019326378
65	0.2011107624
66	0.2004565411
67	0.1999561757
68	0.1993254299
69	0.1988147972
70	0.1981539001
71	0.1975992821
72	0.1970865022
73	0.1965712112
74	0.1955818853
75	0.194924803
76	0.1945371344
77	0.1941481677
78	0.1936195706
79	0.1931808341
80	0.1926837041
81	0.1921912868
82	0.1915937504
83	0.1911394477
84	0.1905597438
85	0.1901686941
86	0.1897958647
87	0.1892117041
88	0.1887324286
89	0.1882440103
90	0.1877483531
91	0.1872317208
92	0.1869461196
93	0.1864044134
94	0.1858459141
95	0.185464449
96	0.1852502453
97	0.1845251132
98	0.1841726063
99	0.1839020582
100	0.1835864045
101	0.1832551554
102	0.1829699378
103	0.1828470358
104	0.1823507136
105	0.1819572187
106	0.1817066315
107	0.1813730883
108	0.1810175967
109	0.1807212896
110	0.180388114
111	0.180029853
112	0.1796342057
113	0.1792557983
114	0.179020639
115	0.1786603991
116	0.1784859735
117	0.1780998483
118	0.177933035
119	0.1773558465
120	0.1770262788
121	0.1768427491
122	0.1763127988
123	0.1759807425
124	0.1756664265
125	0.1755383538
126	0.1750226939
127	0.1747031967
128	0.1742994448
129	0.1738183423
130	0.1735596342
131	0.173316739
132	0.1729257513
133	0.1724262971
134	0.1721674468
135	0.1720268734
136	0.171798062
137	0.1715063347
138	0.1712265866
139	0.1709833559
140	0.1706983461
141	0.1704917412
142	0.1701216464
143	0.1698861097
144	0.169679245
145	0.1694616421
146	0.1692596785
147	0.1691737702
148	0.1689504116
149	0.1687188645
150	0.1686429774
151	0.1681710983
152	0.1678740381
153	0.1677316965
154	0.1675271829
155	0.1674426949
156	0.1672022852
157	0.1669492515
158	0.1666404627
159	0.1663972202
160	0.1661417357
161	0.1660218264
162	0.165809532
163	0.165582319
164	0.1654722176
165	0.1652846677
166	0.1649457126
167	0.1647713084
168	0.1646522939
169	0.1644910595
170	0.1642666059
171	0.1639155269
172	0.1636822705
173	0.1634717763
174	0.1630877344
175	0.1627375951
176	0.1626577144
177	0.16259075
178	0.1622278652
179	0.1620058476
180	0.1619059817
181	0.1617849909
182	0.1616753401
183	0.161330314
184	0.1612825634
185	0.1612214749
186	0.1610439493
187	0.1609789795
188	0.1607796961
189	0.1604300333
190	0.1603062526
191	0.1601893801
192	0.1600607437
193	0.159842533
194	0.1597313484
195	0.1593924736
196	0.1592513249
197	0.1591973723
198	0.1591194549
199	0.158991154
200	0.1588342888
201	0.1586808103
202	0.1585688179
203	0.1585358696
204	0.1584407202
205	0.1582883209
206	0.15812224
207	0.1580434956
208	0.1579486943
209	0.1577416828
210	0.1576548279
211	0.1574826698
212	0.1573537201
213	0.157310259
214	0.1571140624
215	0.1569382523
216	0.1568944455
217	0.1568572146
218	0.1566848655
219	0.1564735194
220	0.156272547
221	0.1560057359
222	0.1559134646
223	0.1556573026
224	0.1555197614
225	0.1552578844
226	0.1551315
227	0.1549261842
228	0.1547929128
229	0.1545652159
230	0.1544357595
231	0.1543344553
232	0.1542433222
233	0.1541529775
234	0.1540278095
235	0.1538394408
236	0.1538192966
237	0.153763287
238	0.1536877014
239	0.1535926273
240	0.1534453544
241	0.1533839711
242	0.1533619404
243	0.1532003244
244	0.1530415107
245	0.1528649276
246	0.1527505359
247	0.1524651995
248	0.1524256129
249	0.1522938028
250	0.1522078615
251	0.1520454752
252	0.1518228273
253	0.1517034629
254	0.1515810082
255	0.1515446596
256	0.1514285688
257	0.151239694
258	0.1511256324
259	0.1510397301
260	0.1508461343
261	0.1506843142
262	0.1505725678
263	0.150433488
264	0.1503852338
265	0.150220176
266	0.1500576461
267	0.1498549623
268	0.1496845126
269	0.1495904252
270	0.1495380995
271	0.1494651483
272	0.1493964787
273	0.1492761679
274	0.1491048211
275	0.1489878651
276	0.1488925537
277	0.1487709525
278	0.1486647598
279	0.148542019
280	0.1484141248
281	0.1483019185
282	0.1481530415
283	0.1480609627
284	0.1479228219
285	0.1478008966
286	0.1477752542
287	0.1476737457
288	0.1475002494
289	0.1474470286
290	0.1474189517
291	0.1473623524
292	0.1472729479
293	0.1472370818
294	0.1471552199
295	0.1470823132
296	0.1470399659
297	0.1469521718
298	0.1467871937
299	0.146648399
300	0.1465595989
301	0.1463222997
302	0.1461859501
303	0.1461170249
304	0.1460555453
305	0.145954335
306	0.1458695611
307	0.1457974482
308	0.1457373627
309	0.1456278664
310	0.1455342138
311	0.1454860258
312	0.1453203479
313	0.1452544095
314	0.1452197472
315	0.1451016291
316	0.1450186862
317	0.1449588705
318	0.144836786
319	0.1447672759
320	0.144678365
321	0.1444337839
322	0.1443968443
323	0.144196141
324	0.1440260449
325	0.1439221312
326	0.1438701179
327	0.143755138
328	0.1436346787
329	0.1435670899
330	0.143538313
331	0.1433662239
332	0.1433046724
333	0.1432580499
334	0.143173807
335	0.1430299172
336	0.1429180008
337	0.1428670818
338	0.1427635322
339	0.142673914
340	0.1426067561
341	0.1424880194
342	0.1424623231
343	0.142398859
344	0.1422810379
345	0.1422312619
346	0.1421093325
347	0.1420211437
348	0.1419552375
349	0.1418894641
350	0.1417921782
351	0.1417124339
352	0.1416234594
353	0.141507808
354	0.141401607
355	0.1413490028
356	0.1411768846
357	0.1411096146
358	0.1410196505
359	0.1409651124
360	0.1407869439
361	0.140707196
362	0.1406400367
363	0.1406210437
364	0.1405488169
365	0.1405041477
366	0.140366368
367	0.1403175378
368	0.1401749621
369	0.1400702722
370	0.1400201149
371	0.1399239788
372	0.1398703333
373	0.1398332002
374	0.1396091644
375	0.1395181711
376	0.1394097678
377	0.1392838825
378	0.1392164655
379	0.139181386
380	0.1391355141
381	0.1390079973
382	0.1389102833
383	0.1388485458
384	0.1387314253
385	0.1386723477
386	0.1386275195
387	0.1385202436
388	0.1383024752
389	0.138178844
390	0.138066347
391	0.1379429547
392	0.1378801716
393	0.1377474647
394	0.1376746178
395	0.1376262026
396	0.1375865985
397	0.1374039833
398	0.1373461939
399	0.1373078718
400	0.1372673814
401	0.1372053232
402	0.1370742012
403	0.1370401131
404	0.1370209806
405	0.1368417038
406	0.1367591743
407	0.1366620912
408	0.1366112023
409	0.1365713158
410	0.1364808215
411	0.1364213895
412	0.1363809737
413	0.1363465985
414	0.1360794288
415	0.1360276697
416	0.1359879986
417	0.1359664081
418	0.1359299835
419	0.1358707043
420	0.1356782953
421	0.135543615
422	0.1355016746
423	0.135342706
424	0.1352497392
425	0.1352135656
426	0.1351406209
427	0.1351061379
428	0.1350289398
429	0.1349847452
430	0.1349181004
431	0.1348646303
432	0.1347831626
433	0.1347303909
434	0.1346671361
435	0.1345856002
436	0.1344765558
437	0.1344118648
438	0.1342164144
439	0.1341900865
440	0.1341586861
441	0.1341290336
442	0.1340343459
443	0.1340055165
444	0.1339578843
445	0.1338878271
446	0.1338677845
447	0.1337713699
448	0.1337147113
449	0.1335266028
450	0.133510697
451	0.1334088953
452	0.1333302245
453	0.1332428687
454	0.1331389211
455	0.133106096
456	0.1329140969
457	0.1328855454
458	0.1328069056
459	0.1327519628
460	0.132714452
461	0.1326703857
462	0.1325562491
463	0.132548337
464	0.1324830419
465	0.1323840821
466	0.1322794473
467	0.1321890996
468	0.1320688898
469	0.1319644938
470	0.1318444591
471	0.1317787805
472	0.1315736306
473	0.1313825819
474	0.1313430504
475	0.1312042752
476	0.1310986835
477	0.1310339664
478	0.1309505853
479	0.1308164191
480	0.1307385997
481	0.1306455549
482	0.1305265998
483	0.130418528
484	0.1303384162
485	0.1302708626
486	0.1301610544
487	0.1301372446
488	0.1300763197
489	0.1300559439
490	0.1300197996
491	0.1299139735
492	0.1297359359
493	0.129710498
494	0.1296928652
495	0.1296044971
496	0.1295684932
497	0.1295094641
498	0.1294746665
499	0.1294097932
500	0.1293194798
501	0.1292311518
502	0.1291649617
503	0.129090018
504	0.1290090203
505	0.1289441101
506	0.1288445309
507	0.1287081435
508	0.1286177365
509	0.1285092895
510	0.1284526322
511	0.1284247363
512	0.1283636069
513	0.1283152416
514	0.1282483706
515	0.1281891061
516	0.1281320071
517	0.1280353059
518	0.1279256306
519	0.1277916063
520	0.1276738998
521	0.1275384085
522	0.1274112285
523	0.1273442279
524	0.1273061737
525	0.1272481303
526	0.1271138503
527	0.1270983638
528	0.1269230415
529	0.1269199771
530	0.1268930877
531	0.1267891406
532	0.1267015398
533	0.1265986918
534	0.1265482227
535	0.1264947247
536	0.1264051633
537	0.1263302577
538	0.126277559
539	0.1262672035
540	0.1261972562
541	0.1261172911
542	0.1260784031
543	0.126064866
544	0.1260248672
545	0.1259796412
546	0.1259405857
547	0.1259165908
548	0.1258582175
549	0.1257958538
550	0.1257592933
551	0.1257490672
552	0.1256609243
553	0.1255911427
554	0.1255812826
555	0.1255249829
556	0.1254658913
557	0.1254161498
558	0.125336975
559	0.1252863553
560	0.125218341
561	0.1251964944
562	0.1251643226
563	0.1250064537
564	0.1249328325
565	0.1248834051
566	0.1248598833
567	0.1247964957
568	0.1247751217
569	0.124741919
570	0.1246361077
571	0.1245660467
572	0.1245336973
573	0.1245017446
574	0.1244652507
575	0.1243660714
576	0.1242772753
577	0.1241787799
578	0.1240736946
579	0.1240011299
580	0.1239856688
581	0.1238807443
582	0.1237837183
583	0.1237518213
584	0.123722081
585	0.1235584639
586	0.1234958167
587	0.123423895
588	0.123300107
589	0.1232594103
590	0.1232041818
591	0.1231747402
592	0.1229957878
593	0.122918026
594	0.1228182275
595	0.1226490784
596	0.1225553238
597	0.1224904132
598	0.1223497645
599	0.1222581081
600	0.1221491755
601	0.1220630188
602	0.1219911882
603	0.1219375548
604	0.1218996863
605	0.1217868851
606	0.121706824
607	0.1216664509
608	0.121640801
609	0.121561365
610	0.1214858462
611	0.1214385499
612	0.1214137445
613	0.1213156477
614	0.1212268254
615	0.121157293
616	0.1210797322
617	0.1210378746
618	0.1210145835
619	0.1209537771
620	0.1209047635
621	0.1208402543
622	0.1207711927
623	0.1206483166
624	0.1205691765
625	0.1204578225
626	0.1203638787
627	0.1203318708
628	0.120266625
629	0.1201969663
630	0.1201234912
631	0.1201005613
632	0.1200508325
633	0.11999285
634	0.1199475595
635	0.1198627032
636	0.1197902279
637	0.119744223
638	0.1197061641
639	0.1196719914
640	0.1195863554
641	0.1194310324
642	0.1193890888
643	0.1193190711
644	0.1192930113
645	0.1192453592
646	0.1192088208
647	0.1191511199
648	0.1191176389
